Haarweg data descriptors:

Here we explain the contents of the data in the data/ folder. The data are all in CET timezone (no summertime).
Missing data is indicated as -9999.
All data is processed to 30 minute data where average/sum/max are computed from TIMESTAMP_START to TIMESTAMP_END.
The data is processed from two sources (see script):
- Eddy correlation data
- Meteo data (e.g. precipitation, soil temperatures etc.)
The EC data serves as the reference data for the FLUXNET submission and ancillary/duplicate data is retrieved from the meteo data.
For the meteo data we further specify which sensors/depths they are located (if available).
The metadata for the EC system can be found in FLUXNET.

Variable name; Unit; Long name
TIMESTAMP_START; YYYYMMDDHHSS CET; Averaging starting timestep
TIMESTAMP_END; YYYYMMDDHHSS CET; Averaging ending timestep
TAU_1_1_1; kg m-1 s-2; Momentum flux;
TAU_SSITC_TEST_1_1_1; -; Quality check - momentum flux
H_1_1_1; W m-2;  -; Sensible heat flux
H_SSITC_TEST_1_1_1; -; Quality check - sensible heat flux
LE_1_1_1; W m-2; Latent heat flux
LE_SSITC_TEST_1_1_1; Quality check - latent heat flux
FC_1_1_1; umolCO2 m-2 s-1; CO2 flux
FC_SSITC_TEST_1_1_1; -; Quality check - CO2 flux
FH2O_1_1_1; mmolH2O m-2 s-1; Water vapor (H2O) turbulent flux (no storage correction)
SH_1_1_1; W m-2; Heat storage in air below flux measurement level
SLE_1_1_1; W m-2; Latent heat storage below flux measurement level
SC_1_1_1; umolCO2 m-2 s-1; CO2 storage in air below flux measurement level
CO2_1_1_1; ppm (umolCO2 mol-1); CO2 concentration
H2O_1_1_1; ppt (mmolH2O mol-1); Water (H2O) vapor mole fraction
T_SONIC_1_1_1; °C; Sonic temperature
TA_1_1_1; °C; Air temperature
PA_1_1_1; kPa; Atmospheric pressure	
RH_1_1_1; %; Relative humidity
VPD_PI_1_1_1; hPa; Vapour pressure deficit (PI processed version)
T_DP_1_1_1; °C; Dew Point Temperature	
WS_1_1_1; m s-1; Wind speed
WS_MAX_1_1_1; m s-1; Maximum wind speed
WD_1_1_1; degrees; Wind direction
USTAR_1_1_1; m s-1; Friction velocity
MO_LENGTH_1_1_1; m; Monin-Obukhov length
ZL_1_1_1; -; Stability parameter
FETCH_70_1_1_1; m; Fetch at which footprint cumulated probability is 70%
FETCH_90_1_1_1; m; Fetch at which footprint cumulated probability is 90%
-----Above: Eddy Covariance setup---------Below: Meteo data---------------
SW_IN_1_1_1; W m-2; Incoming Shortwave radiation (in the range from 0.3 to 4.5 micron)	
SW_OUT_1_1_1; W m-2; Outgoing Shortwave radiation (in the range from 0.3 to 4.5 micron)
LW_IN_1_1_1; W m-2; Incoming Longwave radiation (in the range from 4 to 50 micron)	
LW_OUT_1_1_1; W m-2; Outgoing Longwave radiation (in the range from 4 to 50 micron)	
P_1_1_1; mm; Precipitation
TS_1_1_1; °C; Soil temperature 5 cm grass
TS_1_2_1; °C; Soil temperature 10 cm grass
TS_1_3_1; °C; Soil temperature 20 cm grass
TS_1_4_1; °C; Soil temperature 50 cm grass
TS_1_5_1; °C; Soil temperature 100 cm grass
G_1_1_1; W m-2; Soil heat flux 5 cm grass
TS_2_1_1; °C; Soil temperature 5 cm bare soil
TS_2_2_1; °C; Soil temperature 10 cm bare soil
TS_2_3_1; °C; Soil temperature 20 cm bare soil
G_2_1_1; W m-2; Soil heat flux 5 cm bare soil
TA_2_1_1; °C; Air temperature 1.5m dry bulb
RH_2_1_1; %; Relative humidity 1.5m hair-hygrometer
TA_3_1_1; °C; Air temperature 1.5m Vaisala
RH_3_1_1; %; Relative humidity 1.5m Vaisala
WS_2_1_1; m s-1; Wind speed 10m cup-anemometer
WS_MAX_2_1_1; m s-1; Maximum wind speed 10m cup-anemometer
WD_2_1_1; degrees; Wind direction 10m wind vane
